close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
369.85,2026-02-20 09:15:00,BFO,26-FEB-2026,375.25,326.75,342.5,0,Options,Call,BSESEN,82900.0,43140
379.3,2026-02-20 09:16:00,BFO,26-FEB-2026,392.0,362.25,362.25,0,Options,Call,BSESEN,82900.0,73720
344.0,2026-02-20 09:17:00,BFO,26-FEB-2026,384.65,344.0,384.3,0,Options,Call,BSESEN,82900.0,35940
350.6,2026-02-20 09:18:00,BFO,26-FEB-2026,359.1,332.0,348.2,0,Options,Call,BSESEN,82900.0,22660
353.95,2026-02-20 09:19:00,BFO,26-FEB-2026,360.9,340.9,350.5,0,Options,Call,BSESEN,82900.0,35740
356.75,2026-02-20 09:20:00,BFO,26-FEB-2026,363.0,345.0,355.15,0,Options,Call,BSESEN,82900.0,41280
361.65,2026-02-20 09:21:00,BFO,26-FEB-2026,381.25,356.9,357.5,0,Options,Call,BSESEN,82900.0,49260
361.2,2026-02-20 09:22:00,BFO,26-FEB-2026,371.65,356.15,362.65,0,Options,Call,BSESEN,82900.0,46260
340.0,2026-02-20 09:23:00,BFO,26-FEB-2026,366.45,338.2,360.45,0,Options,Call,BSESEN,82900.0,27280
315.2,2026-02-20 09:24:00,BFO,26-FEB-2026,340.5,315.2,336.55,0,Options,Call,BSESEN,82900.0,36460
308.8,2026-02-20 09:25:00,BFO,26-FEB-2026,321.65,304.4,316.2,0,Options,Call,BSESEN,82900.0,29200
319.3,2026-02-20 09:26:00,BFO,26-FEB-2026,325.7,311.0,311.0,0,Options,Call,BSESEN,82900.0,19060
318.75,2026-02-20 09:27:00,BFO,26-FEB-2026,324.2,312.8,318.5,0,Options,Call,BSESEN,82900.0,14440
306.55,2026-02-20 09:28:00,BFO,26-FEB-2026,320.45,305.35,318.95,0,Options,Call,BSESEN,82900.0,17180
294.3,2026-02-20 09:29:00,BFO,26-FEB-2026,311.45,293.45,306.3,0,Options,Call,BSESEN,82900.0,45800
319.6,2026-02-20 09:30:00,BFO,26-FEB-2026,319.6,293.3,297.0,0,Options,Call,BSESEN,82900.0,24600
305.8,2026-02-20 09:31:00,BFO,26-FEB-2026,323.05,302.8,319.7,0,Options,Call,BSESEN,82900.0,18000
331.6,2026-02-20 09:32:00,BFO,26-FEB-2026,331.6,302.4,304.35,0,Options,Call,BSESEN,82900.0,18840
353.95,2026-02-20 09:33:00,BFO,26-FEB-2026,357.55,332.05,333.0,0,Options,Call,BSESEN,82900.0,33860
368.8,2026-02-20 09:34:00,BFO,26-FEB-2026,372.55,348.55,352.6,0,Options,Call,BSESEN,82900.0,55860
368.95,2026-02-20 09:35:00,BFO,26-FEB-2026,379.65,363.9,368.55,0,Options,Call,BSESEN,82900.0,40980
375.0,2026-02-20 09:36:00,BFO,26-FEB-2026,385.1,366.15,366.5,0,Options,Call,BSESEN,82900.0,51240
376.35,2026-02-20 09:37:00,BFO,26-FEB-2026,383.9,362.45,376.35,0,Options,Call,BSESEN,82900.0,38920
365.85,2026-02-20 09:38:00,BFO,26-FEB-2026,375.8,355.8,375.8,0,Options,Call,BSESEN,82900.0,32300
374.35,2026-02-20 09:39:00,BFO,26-FEB-2026,376.45,364.3,364.3,0,Options,Call,BSESEN,82900.0,30460
366.15,2026-02-20 09:40:00,BFO,26-FEB-2026,374.4,354.15,374.4,0,Options,Call,BSESEN,82900.0,36240
362.05,2026-02-20 09:41:00,BFO,26-FEB-2026,370.15,357.95,368.3,0,Options,Call,BSESEN,82900.0,22640
377.6,2026-02-20 09:42:00,BFO,26-FEB-2026,388.05,357.2,361.15,0,Options,Call,BSESEN,82900.0,62400
393.05,2026-02-20 09:43:00,BFO,26-FEB-2026,396.2,378.55,380.2,0,Options,Call,BSESEN,82900.0,49480
395.8,2026-02-20 09:44:00,BFO,26-FEB-2026,404.65,387.4,393.7,0,Options,Call,BSESEN,82900.0,47580
396.2,2026-02-20 09:45:00,BFO,26-FEB-2026,404.15,389.4,397.55,0,Options,Call,BSESEN,82900.0,35300
399.15,2026-02-20 09:46:00,BFO,26-FEB-2026,405.2,394.0,396.0,0,Options,Call,BSESEN,82900.0,31600
413.5,2026-02-20 09:47:00,BFO,26-FEB-2026,417.3,398.0,398.6,0,Options,Call,BSESEN,82900.0,38680
447.4,2026-02-20 09:48:00,BFO,26-FEB-2026,448.05,410.0,414.25,0,Options,Call,BSESEN,82900.0,98160
445.1,2026-02-20 09:49:00,BFO,26-FEB-2026,454.35,430.8,449.25,0,Options,Call,BSESEN,82900.0,59360
464.25,2026-02-20 09:50:00,BFO,26-FEB-2026,471.95,442.5,446.4,0,Options,Call,BSESEN,82900.0,54420
