close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
412.25,2026-02-20 09:15:00,BFO,26-FEB-2026,414.45,359.35,390.2,0,Options,Call,BSESEN,82800.0,41160
415.55,2026-02-20 09:16:00,BFO,26-FEB-2026,436.35,406.35,408.75,0,Options,Call,BSESEN,82800.0,91940
384.65,2026-02-20 09:17:00,BFO,26-FEB-2026,429.35,384.65,425.9,0,Options,Call,BSESEN,82800.0,44600
389.25,2026-02-20 09:18:00,BFO,26-FEB-2026,399.35,369.9,386.4,0,Options,Call,BSESEN,82800.0,31100
393.4,2026-02-20 09:19:00,BFO,26-FEB-2026,401.4,378.85,393.9,0,Options,Call,BSESEN,82800.0,33660
396.25,2026-02-20 09:20:00,BFO,26-FEB-2026,404.45,385.2,395.7,0,Options,Call,BSESEN,82800.0,37600
403.0,2026-02-20 09:21:00,BFO,26-FEB-2026,424.5,396.85,396.85,0,Options,Call,BSESEN,82800.0,57080
403.9,2026-02-20 09:22:00,BFO,26-FEB-2026,417.0,396.55,404.95,0,Options,Call,BSESEN,82800.0,37400
379.95,2026-02-20 09:23:00,BFO,26-FEB-2026,408.25,378.95,407.65,0,Options,Call,BSESEN,82800.0,42300
354.55,2026-02-20 09:24:00,BFO,26-FEB-2026,382.45,354.55,377.85,0,Options,Call,BSESEN,82800.0,42160
346.15,2026-02-20 09:25:00,BFO,26-FEB-2026,358.15,341.25,353.45,0,Options,Call,BSESEN,82800.0,40300
355.65,2026-02-20 09:26:00,BFO,26-FEB-2026,363.75,348.4,348.4,0,Options,Call,BSESEN,82800.0,16700
357.25,2026-02-20 09:27:00,BFO,26-FEB-2026,362.05,349.9,356.35,0,Options,Call,BSESEN,82800.0,13940
343.6,2026-02-20 09:28:00,BFO,26-FEB-2026,357.6,341.05,357.25,0,Options,Call,BSESEN,82800.0,21840
327.6,2026-02-20 09:29:00,BFO,26-FEB-2026,348.0,327.45,343.9,0,Options,Call,BSESEN,82800.0,30840
358.0,2026-02-20 09:30:00,BFO,26-FEB-2026,358.0,326.55,330.5,0,Options,Call,BSESEN,82800.0,32080
341.2,2026-02-20 09:31:00,BFO,26-FEB-2026,361.3,338.3,357.5,0,Options,Call,BSESEN,82800.0,39480
368.3,2026-02-20 09:32:00,BFO,26-FEB-2026,368.9,336.8,339.95,0,Options,Call,BSESEN,82800.0,18220
393.7,2026-02-20 09:33:00,BFO,26-FEB-2026,396.0,369.75,369.75,0,Options,Call,BSESEN,82800.0,54100
411.15,2026-02-20 09:34:00,BFO,26-FEB-2026,413.75,388.9,394.85,0,Options,Call,BSESEN,82800.0,49380
408.05,2026-02-20 09:35:00,BFO,26-FEB-2026,423.6,407.5,410.25,0,Options,Call,BSESEN,82800.0,44780
419.0,2026-02-20 09:36:00,BFO,26-FEB-2026,427.7,406.5,407.0,0,Options,Call,BSESEN,82800.0,26920
418.4,2026-02-20 09:37:00,BFO,26-FEB-2026,426.4,403.0,419.0,0,Options,Call,BSESEN,82800.0,21500
407.35,2026-02-20 09:38:00,BFO,26-FEB-2026,418.7,395.7,417.9,0,Options,Call,BSESEN,82800.0,23580
415.25,2026-02-20 09:39:00,BFO,26-FEB-2026,419.0,405.2,407.1,0,Options,Call,BSESEN,82800.0,17420
409.2,2026-02-20 09:40:00,BFO,26-FEB-2026,415.25,394.9,415.25,0,Options,Call,BSESEN,82800.0,25120
401.15,2026-02-20 09:41:00,BFO,26-FEB-2026,411.9,398.0,409.2,0,Options,Call,BSESEN,82800.0,13000
420.65,2026-02-20 09:42:00,BFO,26-FEB-2026,431.15,397.9,402.75,0,Options,Call,BSESEN,82800.0,30440
435.1,2026-02-20 09:43:00,BFO,26-FEB-2026,439.1,420.55,422.4,0,Options,Call,BSESEN,82800.0,52040
442.25,2026-02-20 09:44:00,BFO,26-FEB-2026,450.0,429.45,436.5,0,Options,Call,BSESEN,82800.0,34200
444.3,2026-02-20 09:45:00,BFO,26-FEB-2026,451.0,433.55,441.4,0,Options,Call,BSESEN,82800.0,51720
441.4,2026-02-20 09:46:00,BFO,26-FEB-2026,449.9,438.2,440.1,0,Options,Call,BSESEN,82800.0,32740
459.05,2026-02-20 09:47:00,BFO,26-FEB-2026,463.55,442.0,442.7,0,Options,Call,BSESEN,82800.0,44640
494.35,2026-02-20 09:48:00,BFO,26-FEB-2026,495.0,457.0,457.1,0,Options,Call,BSESEN,82800.0,102060
493.55,2026-02-20 09:49:00,BFO,26-FEB-2026,500.85,475.0,497.8,0,Options,Call,BSESEN,82800.0,58420
511.3,2026-02-20 09:50:00,BFO,26-FEB-2026,519.95,488.7,491.85,0,Options,Call,BSESEN,82800.0,61060
514.4,2026-02-20 09:51:00,BFO,26-FEB-2026,521.65,501.25,509.0,0,Options,Call,BSESEN,82800.0,43320
489.65,2026-02-20 09:52:00,BFO,26-FEB-2026,518.7,486.25,517.7,0,Options,Call,BSESEN,82800.0,54160
489.75,2026-02-20 09:53:00,BFO,26-FEB-2026,500.4,483.7,488.5,0,Options,Call,BSESEN,82800.0,35060
495.45,2026-02-20 09:54:00,BFO,26-FEB-2026,499.2,479.0,488.75,0,Options,Call,BSESEN,82800.0,25180
500.0,2026-02-20 09:55:00,BFO,26-FEB-2026,503.0,487.25,497.5,0,Options,Call,BSESEN,82800.0,26000
523.8,2026-02-20 09:56:00,BFO,26-FEB-2026,536.55,501.65,501.65,0,Options,Call,BSESEN,82800.0,53140
530.5,2026-02-20 09:57:00,BFO,26-FEB-2026,533.0,513.1,524.4,0,Options,Call,BSESEN,82800.0,39840
520.8,2026-02-20 09:58:00,BFO,26-FEB-2026,531.05,505.35,528.5,0,Options,Call,BSESEN,82800.0,28000
532.45,2026-02-20 09:59:00,BFO,26-FEB-2026,534.45,514.1,524.0,0,Options,Call,BSESEN,82800.0,26180
509.35,2026-02-20 10:00:00,BFO,26-FEB-2026,532.95,502.7,530.35,0,Options,Call,BSESEN,82800.0,31640
505.0,2026-02-20 10:01:00,BFO,26-FEB-2026,523.0,504.25,508.45,0,Options,Call,BSESEN,82800.0,24340
508.9,2026-02-20 10:02:00,BFO,26-FEB-2026,510.7,499.3,505.55,0,Options,Call,BSESEN,82800.0,18040
487.0,2026-02-20 10:03:00,BFO,26-FEB-2026,516.25,487.0,509.2,0,Options,Call,BSESEN,82800.0,37580
492.25,2026-02-20 10:04:00,BFO,26-FEB-2026,499.25,487.0,487.0,0,Options,Call,BSESEN,82800.0,33460
493.45,2026-02-20 10:05:00,BFO,26-FEB-2026,508.3,493.45,494.3,0,Options,Call,BSESEN,82800.0,21320
502.85,2026-02-20 10:06:00,BFO,26-FEB-2026,518.0,495.25,495.25,0,Options,Call,BSESEN,82800.0,21860
493.6,2026-02-20 10:07:00,BFO,26-FEB-2026,502.95,489.1,502.75,0,Options,Call,BSESEN,82800.0,19020
456.1,2026-02-20 10:08:00,BFO,26-FEB-2026,498.35,454.0,493.6,0,Options,Call,BSESEN,82800.0,55520
460.45,2026-02-20 10:09:00,BFO,26-FEB-2026,460.45,442.05,454.65,0,Options,Call,BSESEN,82800.0,43640
475.0,2026-02-20 10:10:00,BFO,26-FEB-2026,478.3,455.75,459.35,0,Options,Call,BSESEN,82800.0,31120
493.2,2026-02-20 10:11:00,BFO,26-FEB-2026,499.05,472.1,477.35,0,Options,Call,BSESEN,82800.0,34240
489.75,2026-02-20 10:12:00,BFO,26-FEB-2026,503.75,484.0,492.65,0,Options,Call,BSESEN,82800.0,23360
469.05,2026-02-20 10:13:00,BFO,26-FEB-2026,498.85,469.05,489.75,0,Options,Call,BSESEN,82800.0,26700
467.1,2026-02-20 10:14:00,BFO,26-FEB-2026,476.55,457.9,470.65,0,Options,Call,BSESEN,82800.0,24820
