close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
490.0,2026-02-20 09:15:00,BFO,26-FEB-2026,673.15,490.0,673.15,0,Options,Put,BSESEN,82500.0,130980
482.15,2026-02-20 09:16:00,BFO,26-FEB-2026,507.75,465.75,489.95,0,Options,Put,BSESEN,82500.0,210280
540.95,2026-02-20 09:17:00,BFO,26-FEB-2026,541.55,473.6,481.8,0,Options,Put,BSESEN,82500.0,169160
556.05,2026-02-20 09:18:00,BFO,26-FEB-2026,585.95,518.6,541.4,0,Options,Put,BSESEN,82500.0,152840
506.55,2026-02-20 09:19:00,BFO,26-FEB-2026,562.0,506.25,545.25,0,Options,Put,BSESEN,82500.0,127640
497.3,2026-02-20 09:20:00,BFO,26-FEB-2026,522.55,488.55,505.0,0,Options,Put,BSESEN,82500.0,111740
480.25,2026-02-20 09:21:00,BFO,26-FEB-2026,494.55,465.25,494.05,0,Options,Put,BSESEN,82500.0,119160
474.4,2026-02-20 09:22:00,BFO,26-FEB-2026,485.05,469.0,476.3,0,Options,Put,BSESEN,82500.0,95760
504.75,2026-02-20 09:23:00,BFO,26-FEB-2026,508.2,466.75,467.65,0,Options,Put,BSESEN,82500.0,91260
548.95,2026-02-20 09:24:00,BFO,26-FEB-2026,548.95,504.6,510.0,0,Options,Put,BSESEN,82500.0,154640
571.5,2026-02-20 09:25:00,BFO,26-FEB-2026,574.3,540.0,547.35,0,Options,Put,BSESEN,82500.0,167700
555.45,2026-02-20 09:26:00,BFO,26-FEB-2026,567.0,545.05,563.75,0,Options,Put,BSESEN,82500.0,96020
543.15,2026-02-20 09:27:00,BFO,26-FEB-2026,564.65,534.0,551.8,0,Options,Put,BSESEN,82500.0,104740
586.6,2026-02-20 09:28:00,BFO,26-FEB-2026,588.15,547.85,547.85,0,Options,Put,BSESEN,82500.0,95360
649.9,2026-02-20 09:29:00,BFO,26-FEB-2026,654.1,580.75,586.6,0,Options,Put,BSESEN,82500.0,222820
547.9,2026-02-20 09:30:00,BFO,26-FEB-2026,646.05,547.9,638.05,0,Options,Put,BSESEN,82500.0,133920
591.0,2026-02-20 09:31:00,BFO,26-FEB-2026,597.35,551.7,551.7,0,Options,Put,BSESEN,82500.0,103680
540.0,2026-02-20 09:32:00,BFO,26-FEB-2026,601.0,537.3,595.1,0,Options,Put,BSESEN,82500.0,89920
503.4,2026-02-20 09:33:00,BFO,26-FEB-2026,540.5,499.75,538.75,0,Options,Put,BSESEN,82500.0,96860
485.75,2026-02-20 09:34:00,BFO,26-FEB-2026,514.3,476.95,507.45,0,Options,Put,BSESEN,82500.0,105040
484.85,2026-02-20 09:35:00,BFO,26-FEB-2026,488.15,466.2,481.45,0,Options,Put,BSESEN,82500.0,88140
480.7,2026-02-20 09:36:00,BFO,26-FEB-2026,489.45,468.95,489.45,0,Options,Put,BSESEN,82500.0,66380
483.45,2026-02-20 09:37:00,BFO,26-FEB-2026,501.95,476.5,479.2,0,Options,Put,BSESEN,82500.0,63980
510.45,2026-02-20 09:38:00,BFO,26-FEB-2026,520.95,480.6,482.3,0,Options,Put,BSESEN,82500.0,107460
496.1,2026-02-20 09:39:00,BFO,26-FEB-2026,513.8,491.0,509.9,0,Options,Put,BSESEN,82500.0,63240
520.65,2026-02-20 09:40:00,BFO,26-FEB-2026,535.85,496.25,496.25,0,Options,Put,BSESEN,82500.0,76440
522.75,2026-02-20 09:41:00,BFO,26-FEB-2026,530.0,514.85,516.1,0,Options,Put,BSESEN,82500.0,53960
492.85,2026-02-20 09:42:00,BFO,26-FEB-2026,533.0,480.95,524.7,0,Options,Put,BSESEN,82500.0,100400
479.35,2026-02-20 09:43:00,BFO,26-FEB-2026,496.55,469.65,492.8,0,Options,Put,BSESEN,82500.0,74660
481.7,2026-02-20 09:44:00,BFO,26-FEB-2026,489.55,468.0,478.0,0,Options,Put,BSESEN,82500.0,48580
474.7,2026-02-20 09:45:00,BFO,26-FEB-2026,487.05,464.4,477.3,0,Options,Put,BSESEN,82500.0,87800
472.35,2026-02-20 09:46:00,BFO,26-FEB-2026,481.1,466.45,475.05,0,Options,Put,BSESEN,82500.0,38820
463.75,2026-02-20 09:47:00,BFO,26-FEB-2026,474.35,454.5,474.3,0,Options,Put,BSESEN,82500.0,67800
441.5,2026-02-20 09:48:00,BFO,26-FEB-2026,466.3,434.3,465.95,0,Options,Put,BSESEN,82500.0,122020
453.6,2026-02-20 09:49:00,BFO,26-FEB-2026,464.25,443.25,443.45,0,Options,Put,BSESEN,82500.0,57940
444.45,2026-02-20 09:50:00,BFO,26-FEB-2026,452.8,435.85,452.7,0,Options,Put,BSESEN,82500.0,50580
439.5,2026-02-20 09:51:00,BFO,26-FEB-2026,448.8,432.7,443.9,0,Options,Put,BSESEN,82500.0,54900
459.65,2026-02-20 09:52:00,BFO,26-FEB-2026,459.85,436.55,436.55,0,Options,Put,BSESEN,82500.0,51500
465.45,2026-02-20 09:53:00,BFO,26-FEB-2026,465.75,454.55,457.7,0,Options,Put,BSESEN,82500.0,53080
456.4,2026-02-20 09:54:00,BFO,26-FEB-2026,473.4,454.7,465.0,0,Options,Put,BSESEN,82500.0,55360
455.2,2026-02-20 09:55:00,BFO,26-FEB-2026,470.7,451.75,455.8,0,Options,Put,BSESEN,82500.0,50160
439.4,2026-02-20 09:56:00,BFO,26-FEB-2026,452.3,427.45,452.1,0,Options,Put,BSESEN,82500.0,77980
433.15,2026-02-20 09:57:00,BFO,26-FEB-2026,448.55,433.15,441.15,0,Options,Put,BSESEN,82500.0,36440
444.0,2026-02-20 09:58:00,BFO,26-FEB-2026,454.3,435.7,435.7,0,Options,Put,BSESEN,82500.0,37500
434.95,2026-02-20 09:59:00,BFO,26-FEB-2026,449.8,433.25,442.95,0,Options,Put,BSESEN,82500.0,32460
451.2,2026-02-20 10:00:00,BFO,26-FEB-2026,453.85,434.75,435.6,0,Options,Put,BSESEN,82500.0,35640
450.75,2026-02-20 10:01:00,BFO,26-FEB-2026,452.25,435.5,452.25,0,Options,Put,BSESEN,82500.0,33640
448.4,2026-02-20 10:02:00,BFO,26-FEB-2026,455.4,446.1,450.45,0,Options,Put,BSESEN,82500.0,28520
468.3,2026-02-20 10:03:00,BFO,26-FEB-2026,470.0,442.9,449.55,0,Options,Put,BSESEN,82500.0,35820
463.75,2026-02-20 10:04:00,BFO,26-FEB-2026,469.9,457.65,469.9,0,Options,Put,BSESEN,82500.0,47740
467.15,2026-02-20 10:05:00,BFO,26-FEB-2026,467.15,450.2,460.6,0,Options,Put,BSESEN,82500.0,39020
458.3,2026-02-20 10:06:00,BFO,26-FEB-2026,465.55,445.0,465.55,0,Options,Put,BSESEN,82500.0,28800
462.9,2026-02-20 10:07:00,BFO,26-FEB-2026,468.5,458.95,458.95,0,Options,Put,BSESEN,82500.0,34840
501.5,2026-02-20 10:08:00,BFO,26-FEB-2026,502.8,461.65,463.0,0,Options,Put,BSESEN,82500.0,107020
502.65,2026-02-20 10:09:00,BFO,26-FEB-2026,526.4,502.65,504.8,0,Options,Put,BSESEN,82500.0,156480
493.45,2026-02-20 10:10:00,BFO,26-FEB-2026,512.8,487.45,502.15,0,Options,Put,BSESEN,82500.0,100040
479.55,2026-02-20 10:11:00,BFO,26-FEB-2026,497.55,471.5,493.1,0,Options,Put,BSESEN,82500.0,72600
484.55,2026-02-20 10:12:00,BFO,26-FEB-2026,490.85,467.0,480.75,0,Options,Put,BSESEN,82500.0,53640
507.6,2026-02-20 10:13:00,BFO,26-FEB-2026,507.6,475.0,483.55,0,Options,Put,BSESEN,82500.0,52220
514.5,2026-02-20 10:14:00,BFO,26-FEB-2026,523.0,499.9,508.0,0,Options,Put,BSESEN,82500.0,84520
488.15,2026-02-20 10:15:00,BFO,26-FEB-2026,512.15,486.8,512.15,0,Options,Put,BSESEN,82500.0,60860
462.6,2026-02-20 10:16:00,BFO,26-FEB-2026,489.1,458.25,489.1,0,Options,Put,BSESEN,82500.0,87740
444.65,2026-02-20 10:17:00,BFO,26-FEB-2026,462.75,443.25,460.9,0,Options,Put,BSESEN,82500.0,62980
423.0,2026-02-20 10:18:00,BFO,26-FEB-2026,442.75,419.45,442.75,0,Options,Put,BSESEN,82500.0,88440
420.0,2026-02-20 10:19:00,BFO,26-FEB-2026,428.1,411.1,424.25,0,Options,Put,BSESEN,82500.0,64300
422.05,2026-02-20 10:20:00,BFO,26-FEB-2026,429.3,416.8,417.4,0,Options,Put,BSESEN,82500.0,46560
424.35,2026-02-20 10:21:00,BFO,26-FEB-2026,428.0,418.0,422.5,0,Options,Put,BSESEN,82500.0,39860
420.3,2026-02-20 10:22:00,BFO,26-FEB-2026,425.25,404.85,425.25,0,Options,Put,BSESEN,82500.0,60300
426.65,2026-02-20 10:23:00,BFO,26-FEB-2026,431.0,418.1,418.25,0,Options,Put,BSESEN,82500.0,40340
425.0,2026-02-20 10:24:00,BFO,26-FEB-2026,429.7,420.8,427.55,0,Options,Put,BSESEN,82500.0,33520
418.55,2026-02-20 10:25:00,BFO,26-FEB-2026,424.55,415.25,424.55,0,Options,Put,BSESEN,82500.0,37820
402.0,2026-02-20 10:26:00,BFO,26-FEB-2026,422.5,396.15,419.0,0,Options,Put,BSESEN,82500.0,64320
413.3,2026-02-20 10:27:00,BFO,26-FEB-2026,413.3,400.65,403.95,0,Options,Put,BSESEN,82500.0,51260
425.0,2026-02-20 10:28:00,BFO,26-FEB-2026,425.95,412.75,413.15,0,Options,Put,BSESEN,82500.0,47240
424.65,2026-02-20 10:29:00,BFO,26-FEB-2026,430.25,420.95,424.8,0,Options,Put,BSESEN,82500.0,50480
408.55,2026-02-20 10:30:00,BFO,26-FEB-2026,423.9,398.95,423.9,0,Options,Put,BSESEN,82500.0,55780
412.55,2026-02-20 10:31:00,BFO,26-FEB-2026,413.05,405.35,409.45,0,Options,Put,BSESEN,82500.0,20960
409.6,2026-02-20 10:32:00,BFO,26-FEB-2026,412.25,403.75,412.25,0,Options,Put,BSESEN,82500.0,45240
409.5,2026-02-20 10:33:00,BFO,26-FEB-2026,415.55,406.2,409.95,0,Options,Put,BSESEN,82500.0,40180
411.0,2026-02-20 10:34:00,BFO,26-FEB-2026,416.15,408.8,408.8,0,Options,Put,BSESEN,82500.0,32060
413.2,2026-02-20 10:35:00,BFO,26-FEB-2026,416.05,406.8,411.1,0,Options,Put,BSESEN,82500.0,31640
413.3,2026-02-20 10:36:00,BFO,26-FEB-2026,417.7,409.65,413.95,0,Options,Put,BSESEN,82500.0,23600
417.45,2026-02-20 10:37:00,BFO,26-FEB-2026,420.85,410.15,412.65,0,Options,Put,BSESEN,82500.0,22340
419.4,2026-02-20 10:38:00,BFO,26-FEB-2026,422.2,417.0,418.3,0,Options,Put,BSESEN,82500.0,26780
405.3,2026-02-20 10:39:00,BFO,26-FEB-2026,419.9,405.3,419.9,0,Options,Put,BSESEN,82500.0,37420
390.95,2026-02-20 10:40:00,BFO,26-FEB-2026,412.2,386.9,406.25,0,Options,Put,BSESEN,82500.0,75940
394.45,2026-02-20 10:41:00,BFO,26-FEB-2026,397.7,384.05,390.6,0,Options,Put,BSESEN,82500.0,56740
397.3,2026-02-20 10:42:00,BFO,26-FEB-2026,405.0,393.65,393.95,0,Options,Put,BSESEN,82500.0,56740
395.85,2026-02-20 10:43:00,BFO,26-FEB-2026,403.75,395.1,398.4,0,Options,Put,BSESEN,82500.0,32120
397.8,2026-02-20 10:44:00,BFO,26-FEB-2026,399.9,390.9,396.15,0,Options,Put,BSESEN,82500.0,24740
393.1,2026-02-20 10:45:00,BFO,26-FEB-2026,395.75,389.05,395.75,0,Options,Put,BSESEN,82500.0,26780
391.35,2026-02-20 10:46:00,BFO,26-FEB-2026,401.35,391.35,394.05,0,Options,Put,BSESEN,82500.0,22640
407.7,2026-02-20 10:47:00,BFO,26-FEB-2026,407.9,393.45,394.8,0,Options,Put,BSESEN,82500.0,37180
398.75,2026-02-20 10:48:00,BFO,26-FEB-2026,409.45,393.0,408.85,0,Options,Put,BSESEN,82500.0,48100
400.75,2026-02-20 10:49:00,BFO,26-FEB-2026,407.45,395.1,399.25,0,Options,Put,BSESEN,82500.0,30200
407.6,2026-02-20 10:50:00,BFO,26-FEB-2026,409.2,396.15,400.25,0,Options,Put,BSESEN,82500.0,31280
398.75,2026-02-20 10:51:00,BFO,26-FEB-2026,407.5,394.75,407.5,0,Options,Put,BSESEN,82500.0,38860
391.9,2026-02-20 10:52:00,BFO,26-FEB-2026,398.45,385.55,398.45,0,Options,Put,BSESEN,82500.0,41160
391.45,2026-02-20 10:53:00,BFO,26-FEB-2026,394.4,382.45,392.8,0,Options,Put,BSESEN,82500.0,36940
386.1,2026-02-20 10:54:00,BFO,26-FEB-2026,392.1,379.95,391.9,0,Options,Put,BSESEN,82500.0,40620
