close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
808.3,2026-02-20 09:15:00,BFO,26-FEB-2026,809.75,705.1,750.75,0,Options,Call,BSESEN,82100.0,18140
821.5,2026-02-20 09:16:00,BFO,26-FEB-2026,843.35,795.85,809.15,0,Options,Call,BSESEN,82100.0,26720
763.1,2026-02-20 09:17:00,BFO,26-FEB-2026,832.35,763.1,826.1,0,Options,Call,BSESEN,82100.0,7580
765.0,2026-02-20 09:18:00,BFO,26-FEB-2026,783.4,733.65,762.55,0,Options,Call,BSESEN,82100.0,5600
786.45,2026-02-20 09:19:00,BFO,26-FEB-2026,792.85,753.4,772.85,0,Options,Call,BSESEN,82100.0,3680
796.1,2026-02-20 09:20:00,BFO,26-FEB-2026,802.0,772.75,790.5,0,Options,Call,BSESEN,82100.0,5420
801.5,2026-02-20 09:21:00,BFO,26-FEB-2026,833.9,795.1,795.4,0,Options,Call,BSESEN,82100.0,6120
805.4,2026-02-20 09:22:00,BFO,26-FEB-2026,818.5,795.65,801.5,0,Options,Call,BSESEN,82100.0,1500
765.9,2026-02-20 09:23:00,BFO,26-FEB-2026,815.4,765.9,805.4,0,Options,Call,BSESEN,82100.0,3280
728.5,2026-02-20 09:24:00,BFO,26-FEB-2026,772.2,728.5,763.6,0,Options,Call,BSESEN,82100.0,3260
712.3,2026-02-20 09:25:00,BFO,26-FEB-2026,734.15,702.2,728.5,0,Options,Call,BSESEN,82100.0,9020
723.5,2026-02-20 09:26:00,BFO,26-FEB-2026,740.0,714.8,714.8,0,Options,Call,BSESEN,82100.0,3700
732.6,2026-02-20 09:27:00,BFO,26-FEB-2026,737.15,716.7,727.1,0,Options,Call,BSESEN,82100.0,4480
699.85,2026-02-20 09:28:00,BFO,26-FEB-2026,732.6,699.3,732.6,0,Options,Call,BSESEN,82100.0,1700
668.5,2026-02-20 09:29:00,BFO,26-FEB-2026,708.2,668.3,701.45,0,Options,Call,BSESEN,82100.0,10700
728.0,2026-02-20 09:30:00,BFO,26-FEB-2026,728.0,667.4,674.05,0,Options,Call,BSESEN,82100.0,8180
698.9,2026-02-20 09:31:00,BFO,26-FEB-2026,732.45,695.65,730.8,0,Options,Call,BSESEN,82100.0,4960
747.95,2026-02-20 09:32:00,BFO,26-FEB-2026,748.8,690.4,698.55,0,Options,Call,BSESEN,82100.0,4880
788.95,2026-02-20 09:33:00,BFO,26-FEB-2026,792.55,747.45,750.15,0,Options,Call,BSESEN,82100.0,8480
806.95,2026-02-20 09:34:00,BFO,26-FEB-2026,821.1,781.8,787.7,0,Options,Call,BSESEN,82100.0,9900
809.35,2026-02-20 09:35:00,BFO,26-FEB-2026,833.65,806.65,815.6,0,Options,Call,BSESEN,82100.0,6600
825.0,2026-02-20 09:36:00,BFO,26-FEB-2026,840.35,808.95,809.35,0,Options,Call,BSESEN,82100.0,4320
826.75,2026-02-20 09:37:00,BFO,26-FEB-2026,835.0,801.15,824.75,0,Options,Call,BSESEN,82100.0,2420
802.3,2026-02-20 09:38:00,BFO,26-FEB-2026,824.15,790.0,823.75,0,Options,Call,BSESEN,82100.0,2140
819.65,2026-02-20 09:39:00,BFO,26-FEB-2026,823.5,800.15,800.15,0,Options,Call,BSESEN,82100.0,2100
799.05,2026-02-20 09:40:00,BFO,26-FEB-2026,819.65,781.55,819.65,0,Options,Call,BSESEN,82100.0,2280
793.0,2026-02-20 09:41:00,BFO,26-FEB-2026,808.15,793.0,799.05,0,Options,Call,BSESEN,82100.0,1300
825.9,2026-02-20 09:42:00,BFO,26-FEB-2026,839.85,785.0,793.0,0,Options,Call,BSESEN,82100.0,5140
848.1,2026-02-20 09:43:00,BFO,26-FEB-2026,854.4,824.8,825.9,0,Options,Call,BSESEN,82100.0,3580
