close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
454.6,2026-02-20 09:15:00,BFO,26-FEB-2026,461.25,398.35,431.2,0,Options,Call,BSESEN,82700.0,53020
470.3,2026-02-20 09:16:00,BFO,26-FEB-2026,484.05,450.8,450.95,0,Options,Call,BSESEN,82700.0,80200
430.75,2026-02-20 09:17:00,BFO,26-FEB-2026,473.25,428.9,473.05,0,Options,Call,BSESEN,82700.0,49400
432.3,2026-02-20 09:18:00,BFO,26-FEB-2026,444.15,410.9,428.85,0,Options,Call,BSESEN,82700.0,47160
438.65,2026-02-20 09:19:00,BFO,26-FEB-2026,447.0,421.05,438.6,0,Options,Call,BSESEN,82700.0,33940
444.5,2026-02-20 09:20:00,BFO,26-FEB-2026,449.75,428.0,440.8,0,Options,Call,BSESEN,82700.0,37940
448.0,2026-02-20 09:21:00,BFO,26-FEB-2026,471.35,442.5,446.2,0,Options,Call,BSESEN,82700.0,47080
449.65,2026-02-20 09:22:00,BFO,26-FEB-2026,463.85,442.6,449.8,0,Options,Call,BSESEN,82700.0,27160
424.0,2026-02-20 09:23:00,BFO,26-FEB-2026,456.25,421.05,449.65,0,Options,Call,BSESEN,82700.0,36580
394.8,2026-02-20 09:24:00,BFO,26-FEB-2026,426.6,394.8,420.0,0,Options,Call,BSESEN,82700.0,53440
387.05,2026-02-20 09:25:00,BFO,26-FEB-2026,400.85,381.3,395.6,0,Options,Call,BSESEN,82700.0,34680
395.1,2026-02-20 09:26:00,BFO,26-FEB-2026,406.05,388.85,388.85,0,Options,Call,BSESEN,82700.0,28940
398.3,2026-02-20 09:27:00,BFO,26-FEB-2026,406.05,390.6,396.6,0,Options,Call,BSESEN,82700.0,20580
383.15,2026-02-20 09:28:00,BFO,26-FEB-2026,399.7,382.05,397.0,0,Options,Call,BSESEN,82700.0,24820
365.45,2026-02-20 09:29:00,BFO,26-FEB-2026,387.8,365.0,383.05,0,Options,Call,BSESEN,82700.0,85620
398.35,2026-02-20 09:30:00,BFO,26-FEB-2026,398.35,364.6,367.9,0,Options,Call,BSESEN,82700.0,61260
380.75,2026-02-20 09:31:00,BFO,26-FEB-2026,403.15,377.4,399.7,0,Options,Call,BSESEN,82700.0,26000
410.35,2026-02-20 09:32:00,BFO,26-FEB-2026,412.15,375.9,378.65,0,Options,Call,BSESEN,82700.0,31040
439.35,2026-02-20 09:33:00,BFO,26-FEB-2026,443.1,412.25,412.9,0,Options,Call,BSESEN,82700.0,48080
455.45,2026-02-20 09:34:00,BFO,26-FEB-2026,460.45,433.55,438.2,0,Options,Call,BSESEN,82700.0,60240
454.5,2026-02-20 09:35:00,BFO,26-FEB-2026,470.35,452.75,458.4,0,Options,Call,BSESEN,82700.0,74460
465.05,2026-02-20 09:36:00,BFO,26-FEB-2026,476.75,451.6,451.6,0,Options,Call,BSESEN,82700.0,41060
465.45,2026-02-20 09:37:00,BFO,26-FEB-2026,473.5,449.0,466.25,0,Options,Call,BSESEN,82700.0,32380
448.45,2026-02-20 09:38:00,BFO,26-FEB-2026,465.85,442.05,465.65,0,Options,Call,BSESEN,82700.0,32600
462.35,2026-02-20 09:39:00,BFO,26-FEB-2026,466.3,450.0,454.65,0,Options,Call,BSESEN,82700.0,27080
451.2,2026-02-20 09:40:00,BFO,26-FEB-2026,463.6,438.95,463.6,0,Options,Call,BSESEN,82700.0,20040
446.65,2026-02-20 09:41:00,BFO,26-FEB-2026,456.65,441.8,455.0,0,Options,Call,BSESEN,82700.0,14620
465.95,2026-02-20 09:42:00,BFO,26-FEB-2026,478.0,440.35,445.65,0,Options,Call,BSESEN,82700.0,29900
483.85,2026-02-20 09:43:00,BFO,26-FEB-2026,486.75,466.95,469.1,0,Options,Call,BSESEN,82700.0,44520
486.05,2026-02-20 09:44:00,BFO,26-FEB-2026,496.8,475.75,484.5,0,Options,Call,BSESEN,82700.0,51700
487.25,2026-02-20 09:45:00,BFO,26-FEB-2026,498.2,479.85,489.05,0,Options,Call,BSESEN,82700.0,29660
490.0,2026-02-20 09:46:00,BFO,26-FEB-2026,497.85,483.0,487.05,0,Options,Call,BSESEN,82700.0,25140
507.6,2026-02-20 09:47:00,BFO,26-FEB-2026,511.8,488.95,488.95,0,Options,Call,BSESEN,82700.0,50760
544.95,2026-02-20 09:48:00,BFO,26-FEB-2026,545.0,502.6,505.2,0,Options,Call,BSESEN,82700.0,105920
543.75,2026-02-20 09:49:00,BFO,26-FEB-2026,552.75,524.9,547.95,0,Options,Call,BSESEN,82700.0,97780
561.15,2026-02-20 09:50:00,BFO,26-FEB-2026,572.0,538.0,541.55,0,Options,Call,BSESEN,82700.0,88440
569.8,2026-02-20 09:51:00,BFO,26-FEB-2026,573.7,552.6,563.35,0,Options,Call,BSESEN,82700.0,79160
539.6,2026-02-20 09:52:00,BFO,26-FEB-2026,572.0,535.85,569.1,0,Options,Call,BSESEN,82700.0,74080
539.3,2026-02-20 09:53:00,BFO,26-FEB-2026,551.8,534.3,541.35,0,Options,Call,BSESEN,82700.0,38980
547.65,2026-02-20 09:54:00,BFO,26-FEB-2026,549.5,528.65,538.2,0,Options,Call,BSESEN,82700.0,40960
