close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
764.25,2026-02-20 09:15:00,BFO,26-FEB-2026,954.75,761.45,931.5,0,Options,Put,BSESEN,83000.0,25440
762.75,2026-02-20 09:16:00,BFO,26-FEB-2026,786.0,725.75,756.8,0,Options,Put,BSESEN,83000.0,28740
827.5,2026-02-20 09:17:00,BFO,26-FEB-2026,827.5,737.45,744.6,0,Options,Put,BSESEN,83000.0,16240
838.05,2026-02-20 09:18:00,BFO,26-FEB-2026,879.7,796.05,821.55,0,Options,Put,BSESEN,83000.0,14820
784.7,2026-02-20 09:19:00,BFO,26-FEB-2026,847.2,778.5,834.65,0,Options,Put,BSESEN,83000.0,15080
760.75,2026-02-20 09:20:00,BFO,26-FEB-2026,802.7,756.45,777.3,0,Options,Put,BSESEN,83000.0,19840
749.4,2026-02-20 09:21:00,BFO,26-FEB-2026,763.1,724.4,763.05,0,Options,Put,BSESEN,83000.0,18880
741.05,2026-02-20 09:22:00,BFO,26-FEB-2026,754.5,733.7,751.9,0,Options,Put,BSESEN,83000.0,15940
786.25,2026-02-20 09:23:00,BFO,26-FEB-2026,787.3,733.05,733.05,0,Options,Put,BSESEN,83000.0,7560
837.0,2026-02-20 09:24:00,BFO,26-FEB-2026,837.0,783.9,786.3,0,Options,Put,BSESEN,83000.0,14280
860.25,2026-02-20 09:25:00,BFO,26-FEB-2026,874.2,826.9,838.65,0,Options,Put,BSESEN,83000.0,19940
848.5,2026-02-20 09:26:00,BFO,26-FEB-2026,861.6,833.7,861.6,0,Options,Put,BSESEN,83000.0,14480
831.1,2026-02-20 09:27:00,BFO,26-FEB-2026,860.0,823.7,842.45,0,Options,Put,BSESEN,83000.0,7960
886.05,2026-02-20 09:28:00,BFO,26-FEB-2026,887.65,835.25,835.25,0,Options,Put,BSESEN,83000.0,8120
959.65,2026-02-20 09:29:00,BFO,26-FEB-2026,965.0,877.3,887.9,0,Options,Put,BSESEN,83000.0,19780
840.0,2026-02-20 09:30:00,BFO,26-FEB-2026,955.95,840.0,947.75,0,Options,Put,BSESEN,83000.0,13160
894.3,2026-02-20 09:31:00,BFO,26-FEB-2026,899.35,839.65,839.65,0,Options,Put,BSESEN,83000.0,6260
830.3,2026-02-20 09:32:00,BFO,26-FEB-2026,903.8,826.3,894.3,0,Options,Put,BSESEN,83000.0,8560
776.5,2026-02-20 09:33:00,BFO,26-FEB-2026,827.3,773.8,827.05,0,Options,Put,BSESEN,83000.0,13980
750.95,2026-02-20 09:34:00,BFO,26-FEB-2026,789.0,745.2,776.5,0,Options,Put,BSESEN,83000.0,20460
751.9,2026-02-20 09:35:00,BFO,26-FEB-2026,758.65,728.4,749.75,0,Options,Put,BSESEN,83000.0,12400
746.75,2026-02-20 09:36:00,BFO,26-FEB-2026,756.9,731.7,755.8,0,Options,Put,BSESEN,83000.0,6860
749.1,2026-02-20 09:37:00,BFO,26-FEB-2026,773.9,740.05,743.85,0,Options,Put,BSESEN,83000.0,10440
790.25,2026-02-20 09:38:00,BFO,26-FEB-2026,798.2,745.0,749.3,0,Options,Put,BSESEN,83000.0,11120
767.6,2026-02-20 09:39:00,BFO,26-FEB-2026,784.6,764.5,782.0,0,Options,Put,BSESEN,83000.0,7280
797.25,2026-02-20 09:40:00,BFO,26-FEB-2026,819.2,764.0,764.0,0,Options,Put,BSESEN,83000.0,6180
799.0,2026-02-20 09:41:00,BFO,26-FEB-2026,810.0,786.75,797.25,0,Options,Put,BSESEN,83000.0,5880
764.7,2026-02-20 09:42:00,BFO,26-FEB-2026,808.7,746.35,799.55,0,Options,Put,BSESEN,83000.0,12420
742.05,2026-02-20 09:43:00,BFO,26-FEB-2026,762.35,730.0,759.15,0,Options,Put,BSESEN,83000.0,11840
745.5,2026-02-20 09:44:00,BFO,26-FEB-2026,759.0,725.15,742.25,0,Options,Put,BSESEN,83000.0,18580
735.3,2026-02-20 09:45:00,BFO,26-FEB-2026,753.8,720.7,744.2,0,Options,Put,BSESEN,83000.0,10220
738.0,2026-02-20 09:46:00,BFO,26-FEB-2026,745.4,723.7,734.0,0,Options,Put,BSESEN,83000.0,7760
