close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
896.15,2026-02-20 09:15:00,BFO,26-FEB-2026,1102.0,895.45,1102.0,0,Options,Put,BSESEN,83200.0,4640
882.75,2026-02-20 09:16:00,BFO,26-FEB-2026,917.15,857.55,896.15,0,Options,Put,BSESEN,83200.0,8480
954.0,2026-02-20 09:17:00,BFO,26-FEB-2026,954.0,868.75,874.65,0,Options,Put,BSESEN,83200.0,6340
976.1,2026-02-20 09:18:00,BFO,26-FEB-2026,1018.2,931.6,952.5,0,Options,Put,BSESEN,83200.0,3140
913.5,2026-02-20 09:19:00,BFO,26-FEB-2026,983.7,913.5,978.85,0,Options,Put,BSESEN,83200.0,2380
893.05,2026-02-20 09:20:00,BFO,26-FEB-2026,939.1,885.55,913.5,0,Options,Put,BSESEN,83200.0,6420
876.05,2026-02-20 09:21:00,BFO,26-FEB-2026,896.55,859.65,896.55,0,Options,Put,BSESEN,83200.0,6660
874.5,2026-02-20 09:22:00,BFO,26-FEB-2026,885.0,868.75,879.55,0,Options,Put,BSESEN,83200.0,5420
923.85,2026-02-20 09:23:00,BFO,26-FEB-2026,923.85,866.6,874.5,0,Options,Put,BSESEN,83200.0,1640
975.5,2026-02-20 09:24:00,BFO,26-FEB-2026,975.5,921.4,923.85,0,Options,Put,BSESEN,83200.0,2040
1002.85,2026-02-20 09:25:00,BFO,26-FEB-2026,1014.05,969.95,976.6,0,Options,Put,BSESEN,83200.0,4800
984.5,2026-02-20 09:26:00,BFO,26-FEB-2026,1005.3,975.35,1005.3,0,Options,Put,BSESEN,83200.0,6400
978.7,2026-02-20 09:27:00,BFO,26-FEB-2026,992.25,960.35,984.5,0,Options,Put,BSESEN,83200.0,3220
1027.9,2026-02-20 09:28:00,BFO,26-FEB-2026,1029.7,976.4,978.7,0,Options,Put,BSESEN,83200.0,3060
1104.15,2026-02-20 09:29:00,BFO,26-FEB-2026,1111.9,1021.7,1027.9,0,Options,Put,BSESEN,83200.0,4020
978.95,2026-02-20 09:30:00,BFO,26-FEB-2026,1100.0,978.95,1100.0,0,Options,Put,BSESEN,83200.0,1380
1032.5,2026-02-20 09:31:00,BFO,26-FEB-2026,1032.5,978.95,978.95,0,Options,Put,BSESEN,83200.0,480
964.6,2026-02-20 09:32:00,BFO,26-FEB-2026,1032.5,964.6,1032.5,0,Options,Put,BSESEN,83200.0,280
934.65,2026-02-20 09:33:00,BFO,26-FEB-2026,964.6,932.55,964.6,0,Options,Put,BSESEN,83200.0,520
889.45,2026-02-20 09:34:00,BFO,26-FEB-2026,934.65,877.05,934.65,0,Options,Put,BSESEN,83200.0,2020
887.7,2026-02-20 09:35:00,BFO,26-FEB-2026,889.45,863.1,889.45,0,Options,Put,BSESEN,83200.0,1120
878.4,2026-02-20 09:36:00,BFO,26-FEB-2026,891.55,865.0,887.7,0,Options,Put,BSESEN,83200.0,760
881.6,2026-02-20 09:37:00,BFO,26-FEB-2026,908.75,877.1,878.4,0,Options,Put,BSESEN,83200.0,940
925.6,2026-02-20 09:38:00,BFO,26-FEB-2026,928.25,881.6,881.6,0,Options,Put,BSESEN,83200.0,1100
897.0,2026-02-20 09:39:00,BFO,26-FEB-2026,925.6,894.9,925.6,0,Options,Put,BSESEN,83200.0,780
933.55,2026-02-20 09:40:00,BFO,26-FEB-2026,953.15,897.0,897.0,0,Options,Put,BSESEN,83200.0,920
942.15,2026-02-20 09:41:00,BFO,26-FEB-2026,942.9,924.95,933.55,0,Options,Put,BSESEN,83200.0,920
891.0,2026-02-20 09:42:00,BFO,26-FEB-2026,944.35,875.55,942.15,0,Options,Put,BSESEN,83200.0,1200
865.55,2026-02-20 09:43:00,BFO,26-FEB-2026,891.0,860.85,891.0,0,Options,Put,BSESEN,83200.0,1120
881.7,2026-02-20 09:44:00,BFO,26-FEB-2026,881.7,854.25,870.6,0,Options,Put,BSESEN,83200.0,560
859.4,2026-02-20 09:45:00,BFO,26-FEB-2026,883.25,850.65,881.7,0,Options,Put,BSESEN,83200.0,840
867.6,2026-02-20 09:46:00,BFO,26-FEB-2026,867.6,853.4,859.4,0,Options,Put,BSESEN,83200.0,940
845.7,2026-02-20 09:47:00,BFO,26-FEB-2026,867.6,839.4,867.6,0,Options,Put,BSESEN,83200.0,1060
816.7,2026-02-20 09:48:00,BFO,26-FEB-2026,848.0,806.45,845.7,0,Options,Put,BSESEN,83200.0,1340
824.75,2026-02-20 09:49:00,BFO,26-FEB-2026,846.05,811.5,816.7,0,Options,Put,BSESEN,83200.0,2600
809.2,2026-02-20 09:50:00,BFO,26-FEB-2026,829.7,800.0,824.75,0,Options,Put,BSESEN,83200.0,960
800.4,2026-02-20 09:51:00,BFO,26-FEB-2026,814.05,791.5,811.65,0,Options,Put,BSESEN,83200.0,1180
831.0,2026-02-20 09:52:00,BFO,26-FEB-2026,832.0,798.5,800.4,0,Options,Put,BSESEN,83200.0,980
833.3,2026-02-20 09:53:00,BFO,26-FEB-2026,838.4,825.9,831.0,0,Options,Put,BSESEN,83200.0,780
826.4,2026-02-20 09:54:00,BFO,26-FEB-2026,850.35,825.4,840.0,0,Options,Put,BSESEN,83200.0,620
822.55,2026-02-20 09:55:00,BFO,26-FEB-2026,842.9,818.35,826.4,0,Options,Put,BSESEN,83200.0,520
795.6,2026-02-20 09:56:00,BFO,26-FEB-2026,818.5,780.0,818.5,0,Options,Put,BSESEN,83200.0,1320
791.2,2026-02-20 09:57:00,BFO,26-FEB-2026,811.55,791.2,797.0,0,Options,Put,BSESEN,83200.0,760
809.5,2026-02-20 09:58:00,BFO,26-FEB-2026,819.1,791.2,791.2,0,Options,Put,BSESEN,83200.0,660
788.5,2026-02-20 09:59:00,BFO,26-FEB-2026,811.15,786.35,803.4,0,Options,Put,BSESEN,83200.0,1060
811.85,2026-02-20 10:00:00,BFO,26-FEB-2026,818.5,788.5,788.5,0,Options,Put,BSESEN,83200.0,1080
813.4,2026-02-20 10:01:00,BFO,26-FEB-2026,815.9,792.65,815.9,0,Options,Put,BSESEN,83200.0,700
812.45,2026-02-20 10:02:00,BFO,26-FEB-2026,820.85,811.65,815.4,0,Options,Put,BSESEN,83200.0,1140
840.7,2026-02-20 10:03:00,BFO,26-FEB-2026,842.15,803.15,812.45,0,Options,Put,BSESEN,83200.0,960
834.95,2026-02-20 10:04:00,BFO,26-FEB-2026,840.7,825.0,840.7,0,Options,Put,BSESEN,83200.0,1640
822.35,2026-02-20 10:05:00,BFO,26-FEB-2026,835.15,818.6,831.1,0,Options,Put,BSESEN,83200.0,480
813.45,2026-02-20 10:06:00,BFO,26-FEB-2026,838.3,808.4,838.3,0,Options,Put,BSESEN,83200.0,1060
834.65,2026-02-20 10:07:00,BFO,26-FEB-2026,838.7,813.45,813.45,0,Options,Put,BSESEN,83200.0,760
893.9,2026-02-20 10:08:00,BFO,26-FEB-2026,893.9,831.1,834.65,0,Options,Put,BSESEN,83200.0,1240
897.2,2026-02-20 10:09:00,BFO,26-FEB-2026,919.8,893.9,893.9,0,Options,Put,BSESEN,83200.0,1180
874.8,2026-02-20 10:10:00,BFO,26-FEB-2026,901.75,872.4,897.2,0,Options,Put,BSESEN,83200.0,2560
845.9,2026-02-20 10:11:00,BFO,26-FEB-2026,877.7,844.15,874.8,0,Options,Put,BSESEN,83200.0,1780
859.35,2026-02-20 10:12:00,BFO,26-FEB-2026,867.0,833.45,855.3,0,Options,Put,BSESEN,83200.0,1320
891.4,2026-02-20 10:13:00,BFO,26-FEB-2026,891.4,848.95,859.35,0,Options,Put,BSESEN,83200.0,1420
899.25,2026-02-20 10:14:00,BFO,26-FEB-2026,912.8,885.6,893.9,0,Options,Put,BSESEN,83200.0,1260
862.0,2026-02-20 10:15:00,BFO,26-FEB-2026,899.25,862.0,899.25,0,Options,Put,BSESEN,83200.0,1860
