close,time,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
261.85,2026-02-20 09:15:00,BFO,26-FEB-2026,271.95,231.75,254.3,0,Options,Call,BSESEN,83200.0,33180
272.85,2026-02-20 09:16:00,BFO,26-FEB-2026,281.6,258.75,258.75,0,Options,Call,BSESEN,83200.0,58520
245.4,2026-02-20 09:17:00,BFO,26-FEB-2026,276.2,245.4,275.3,0,Options,Call,BSESEN,83200.0,29280
250.9,2026-02-20 09:18:00,BFO,26-FEB-2026,256.7,238.2,248.35,0,Options,Call,BSESEN,83200.0,22020
252.25,2026-02-20 09:19:00,BFO,26-FEB-2026,257.25,244.3,254.45,0,Options,Call,BSESEN,83200.0,17580
252.6,2026-02-20 09:20:00,BFO,26-FEB-2026,258.65,245.25,253.2,0,Options,Call,BSESEN,83200.0,17600
256.75,2026-02-20 09:21:00,BFO,26-FEB-2026,271.45,253.2,253.25,0,Options,Call,BSESEN,83200.0,27520
256.6,2026-02-20 09:22:00,BFO,26-FEB-2026,264.15,253.1,257.6,0,Options,Call,BSESEN,83200.0,15600
240.75,2026-02-20 09:23:00,BFO,26-FEB-2026,259.9,239.55,259.9,0,Options,Call,BSESEN,83200.0,14520
223.65,2026-02-20 09:24:00,BFO,26-FEB-2026,241.95,223.65,238.25,0,Options,Call,BSESEN,83200.0,21300
219.85,2026-02-20 09:25:00,BFO,26-FEB-2026,227.25,216.0,224.1,0,Options,Call,BSESEN,83200.0,14140
226.5,2026-02-20 09:26:00,BFO,26-FEB-2026,231.05,220.15,220.15,0,Options,Call,BSESEN,83200.0,12620
228.0,2026-02-20 09:27:00,BFO,26-FEB-2026,230.75,222.6,226.4,0,Options,Call,BSESEN,83200.0,10200
218.95,2026-02-20 09:28:00,BFO,26-FEB-2026,227.7,217.6,225.7,0,Options,Call,BSESEN,83200.0,11460
210.65,2026-02-20 09:29:00,BFO,26-FEB-2026,222.45,210.65,219.3,0,Options,Call,BSESEN,83200.0,23500
227.15,2026-02-20 09:30:00,BFO,26-FEB-2026,227.15,210.5,212.85,0,Options,Call,BSESEN,83200.0,26580
218.2,2026-02-20 09:31:00,BFO,26-FEB-2026,230.65,217.1,227.3,0,Options,Call,BSESEN,83200.0,21920
234.9,2026-02-20 09:32:00,BFO,26-FEB-2026,234.95,215.6,217.0,0,Options,Call,BSESEN,83200.0,13720
253.3,2026-02-20 09:33:00,BFO,26-FEB-2026,255.1,236.4,237.15,0,Options,Call,BSESEN,83200.0,37280
262.2,2026-02-20 09:34:00,BFO,26-FEB-2026,266.4,249.4,252.55,0,Options,Call,BSESEN,83200.0,26520
263.2,2026-02-20 09:35:00,BFO,26-FEB-2026,273.15,261.35,264.85,0,Options,Call,BSESEN,83200.0,22680
