time,open,high,low,close,volume
2026-02-20 09:15:00,82328.09,82497.09,82232.39,82486.37,0
2026-02-20 09:16:00,82484.82,82546.11,82477.8,82506.06,0
2026-02-20 09:17:00,82505.0,82505.95,82413.49,82413.49,0
2026-02-20 09:18:00,82417.15,82434.27,82341.64,82400.53,0
2026-02-20 09:19:00,82401.0,82452.29,82384.47,82444.54,0
2026-02-20 09:20:00,82449.78,82490.47,82425.19,82478.12,0
2026-02-20 09:21:00,82478.46,82542.85,82475.31,82500.29,0
2026-02-20 09:22:00,82503.37,82515.53,82491.03,82501.45,0
2026-02-20 09:23:00,82505.6,82522.08,82457.81,82460.59,0
2026-02-20 09:24:00,82455.19,82457.82,82378.2,82378.2,0
2026-02-20 09:25:00,82383.77,82387.37,82325.13,82326.19,0
2026-02-20 09:26:00,82327.92,82358.79,82327.92,82344.09,0
2026-02-20 09:27:00,82342.66,82355.42,82333.51,82344.78,0
2026-02-20 09:28:00,82350.79,82352.68,82314.34,82314.34,0
2026-02-20 09:29:00,82310.08,82312.47,82227.78,82227.83,0
2026-02-20 09:30:00,82227.52,82348.87,82227.52,82348.87,0
2026-02-20 09:31:00,82352.25,82368.35,82304.47,82304.47,0
2026-02-20 09:32:00,82303.77,82369.5,82300.24,82369.5,0
2026-02-20 09:33:00,82371.26,82446.18,82371.26,82446.18,0
2026-02-20 09:34:00,82447.06,82494.76,82433.52,82480.71,0
2026-02-20 09:35:00,82481.77,82514.29,82477.6,82496.76,0
2026-02-20 09:36:00,82498.7,82529.83,82491.14,82524.08,0
2026-02-20 09:37:00,82520.67,82521.89,82482.81,82512.11,0
2026-02-20 09:38:00,82510.63,82514.13,82458.39,82460.17,0
2026-02-20 09:39:00,82463.86,82484.42,82463.86,82481.77,0
2026-02-20 09:40:00,82483.27,82484.2,82434.18,82442.05,0
2026-02-20 09:41:00,82447.09,82464.94,82433.94,82437.11,0
2026-02-20 09:42:00,82433.11,82497.13,82429.75,82495.47,0
2026-02-20 09:43:00,82496.4,82521.49,82493.76,82517.07,0
2026-02-20 09:44:00,82519.72,82535.81,82510.39,82521.03,0
2026-02-20 09:45:00,82521.03,82540.09,82510.44,82538.67,0
2026-02-20 09:46:00,82538.92,82561.04,82535.58,82552.93,0
2026-02-20 09:47:00,82552.54,82585.96,82548.81,82580.39,0
2026-02-20 09:48:00,82578.44,82618.36,82571.82,82615.42,0
2026-02-20 09:49:00,82612.03,82627.52,82595.48,82617.34,0
2026-02-20 09:50:00,82617.66,82653.98,82617.66,82643.16,0
2026-02-20 09:51:00,82645.92,82660.48,82637.45,82654.75,0
2026-02-20 09:52:00,82656.53,82659.44,82605.06,82605.7,0
2026-02-20 09:53:00,82609.79,82613.73,82596.64,82608.8,0
2026-02-20 09:54:00,82605.95,82605.95,82572.36,82601.34,0
2026-02-20 09:55:00,82601.52,82601.98,82577.76,82597.7,0
2026-02-20 09:56:00,82600.85,82656.39,82600.85,82656.39,0
2026-02-20 09:57:00,82655.11,82665.82,82643.38,82661.72,0
2026-02-20 09:58:00,82662.02,82665.2,82632.36,82641.38,0
2026-02-20 09:59:00,82646.98,82661.23,82633.19,82658.6,0
2026-02-20 10:00:00,82659.12,82669.48,82632.38,82636.62,0
2026-02-20 10:01:00,82634.0,82651.22,82629.66,82639.22,0
2026-02-20 10:02:00,82636.25,82636.68,82608.37,82612.23,0
2026-02-20 10:03:00,82609.92,82632.65,82579.31,82584.89,0
2026-02-20 10:04:00,82582.61,82594.84,82576.18,82591.27,0
2026-02-20 10:05:00,82592.97,82625.83,82591.3,82604.71,0
2026-02-20 10:06:00,82605.53,82647.85,82605.53,82637.97,0
2026-02-20 10:07:00,82638.43,82638.43,82605.21,82605.21,0
2026-02-20 10:08:00,82603.92,82607.19,82545.48,82545.48,0
2026-02-20 10:09:00,82544.82,82544.82,82502.68,82514.47,0
2026-02-20 10:10:00,82522.55,82552.65,82516.9,82551.8,0
2026-02-20 10:11:00,82553.02,82594.2,82545.88,82593.54,0
2026-02-20 10:12:00,82597.73,82611.71,82583.23,82592.91,0
2026-02-20 10:13:00,82589.56,82606.63,82570.53,82570.96,0
2026-02-20 10:14:00,82567.3,82568.55,82529.49,82544.51,0
2026-02-20 10:15:00,82545.29,82602.91,82545.29,82602.71,0
2026-02-20 10:16:00,82602.47,82659.24,82599.79,82659.24,0
2026-02-20 10:17:00,82660.16,82676.28,82651.09,82669.7,0
2026-02-20 10:18:00,82673.08,82733.72,82669.49,82729.58,0
2026-02-20 10:19:00,82732.72,82746.5,82728.15,82731.54,0
2026-02-20 10:20:00,82733.27,82742.39,82716.22,82721.55,0
2026-02-20 10:21:00,82722.84,82727.3,82719.22,82724.3,0
2026-02-20 10:22:00,82723.98,82774.8,82723.94,82764.7,0
2026-02-20 10:23:00,82766.51,82768.58,82749.02,82749.02,0
2026-02-20 10:24:00,82750.69,82766.36,82743.44,82759.18,0
2026-02-20 10:25:00,82760.34,82777.23,82760.34,82774.84,0
2026-02-20 10:26:00,82773.14,82828.93,82761.07,82828.61,0
2026-02-20 10:27:00,82828.76,82833.61,82815.37,82815.37,0
2026-02-20 10:28:00,82813.35,82815.71,82793.59,82793.59,0
2026-02-20 10:29:00,82791.62,82791.62,82775.82,82780.67,0
2026-02-20 10:30:00,82785.87,82851.92,82784.71,82840.66,0
2026-02-20 10:31:00,82839.89,82845.21,82829.84,82833.79,0
2026-02-20 10:32:00,82832.98,82854.24,82832.98,82837.61,0
2026-02-20 10:33:00,82838.65,82846.1,82828.25,82836.58,0
2026-02-20 10:34:00,82834.74,82838.3,82823.35,82833.62,0
2026-02-20 10:35:00,82834.07,82851.45,82832.53,82837.65,0
2026-02-20 10:36:00,82837.01,82845.29,82830.85,82845.29,0
2026-02-20 10:37:00,82844.67,82849.59,82828.79,82828.79,0
2026-02-20 10:38:00,82828.96,82829.7,82812.37,82820.3,0
2026-02-20 10:39:00,82826.2,82840.29,82824.61,82840.29,0
2026-02-20 10:40:00,82844.4,82907.16,82837.31,82907.13,0
2026-02-20 10:41:00,82907.13,82934.37,82903.6,82926.24,0
2026-02-20 10:42:00,82924.48,82930.28,82898.51,82910.8,0
2026-02-20 10:43:00,82910.16,82915.76,82900.66,82909.05,0
2026-02-20 10:44:00,82909.08,82929.05,82907.45,82921.2,0
2026-02-20 10:45:00,82921.2,82942.51,82917.85,82942.51,0
2026-02-20 10:46:00,82944.78,82946.0,82905.94,82923.89,0
2026-02-20 10:47:00,82923.89,82925.08,82895.68,82895.68,0
2026-02-20 10:48:00,82890.89,82899.6,82880.07,82890.95,0
2026-02-20 10:49:00,82889.22,82898.47,82876.23,82894.33,0
2026-02-20 10:50:00,82891.01,82898.72,82860.24,82865.02,0
2026-02-20 10:51:00,82861.21,82872.32,82855.7,82868.27,0
2026-02-20 10:52:00,82868.27,82893.03,82866.49,82889.41,0
2026-02-20 10:53:00,82889.4,82898.94,82875.54,82877.6,0
2026-02-20 10:54:00,82881.48,82895.21,82876.11,82881.54,0
2026-02-20 10:55:00,82882.7,82888.23,82878.51,82885.75,0
2026-02-20 10:56:00,82886.45,82895.44,82885.04,82888.43,0
2026-02-20 10:57:00,82890.09,82892.67,82884.14,82886.24,0
2026-02-20 10:58:00,82886.7,82887.3,82850.51,82851.91,0
2026-02-20 10:59:00,82852.1,82878.96,82847.39,82874.11,0
2026-02-20 11:00:00,82874.42,82884.2,82868.68,82884.2,0
2026-02-20 11:01:00,82883.52,82884.9,82855.5,82862.7,0
2026-02-20 11:02:00,82862.86,82866.39,82828.47,82840.06,0
2026-02-20 11:03:00,82839.73,82843.22,82831.53,82838.52,0
2026-02-20 11:04:00,82832.99,82850.45,82828.48,82841.76,0
2026-02-20 11:05:00,82847.58,82865.4,82844.19,82861.97,0
2026-02-20 11:06:00,82860.91,82874.27,82842.9,82842.9,0
2026-02-20 11:07:00,82844.52,82844.52,82836.8,82837.5,0
2026-02-20 11:08:00,82836.85,82840.97,82813.11,82828.97,0
2026-02-20 11:09:00,82828.97,82831.64,82810.56,82810.56,0
2026-02-20 11:10:00,82810.14,82822.75,82810.14,82819.18,0
2026-02-20 11:11:00,82818.45,82824.36,82800.76,82820.89,0
2026-02-20 11:12:00,82819.58,82845.26,82819.58,82845.26,0
2026-02-20 11:13:00,82845.26,82857.88,82811.37,82815.23,0
2026-02-20 11:14:00,82813.53,82813.53,82787.45,82790.78,0
2026-02-20 11:15:00,82791.09,82849.81,82790.98,82845.35,0
2026-02-20 11:16:00,82842.15,82845.43,82826.11,82837.4,0
2026-02-20 11:17:00,82835.35,82839.24,82814.08,82824.14,0
2026-02-20 11:18:00,82824.74,82838.08,82815.16,82838.08,0
2026-02-20 11:19:00,82838.28,82850.43,82836.24,82842.83,0
2026-02-20 11:20:00,82842.83,82849.73,82838.42,82841.93,0
2026-02-20 11:21:00,82841.82,82860.5,82837.12,82840.65,0
2026-02-20 11:22:00,82841.39,82841.39,82808.45,82808.45,0
2026-02-20 11:23:00,82809.24,82813.66,82793.81,82795.31,0
2026-02-20 11:24:00,82800.31,82818.82,82797.31,82815.58,0
2026-02-20 11:25:00,82817.88,82819.46,82805.75,82818.63,0
2026-02-20 11:26:00,82818.63,82836.82,82818.42,82836.7,0
2026-02-20 11:27:00,82838.15,82854.64,82838.15,82848.14,0
2026-02-20 11:28:00,82847.25,82892.14,82847.25,82892.14,0
2026-02-20 11:29:00,82895.47,82902.32,82877.0,82878.53,0
2026-02-20 11:30:00,82878.22,82897.6,82867.11,82895.79,0
2026-02-20 11:31:00,82894.61,82913.89,82894.09,82910.33,0
2026-02-20 11:32:00,82908.33,82908.33,82873.37,82878.18,0
2026-02-20 11:33:00,82880.77,82881.37,82856.8,82879.6,0
2026-02-20 11:34:00,82881.09,82893.32,82875.43,82888.77,0
2026-02-20 11:35:00,82888.48,82897.8,82882.25,82886.01,0
2026-02-20 11:36:00,82886.01,82899.94,82878.35,82899.94,0
2026-02-20 11:37:00,82899.86,82918.86,82894.63,82917.0,0
2026-02-20 11:38:00,82917.78,82928.87,82911.57,82912.69,0
2026-02-20 11:39:00,82913.32,82932.02,82913.27,82921.66,0
2026-02-20 11:40:00,82919.48,82934.48,82918.81,82929.27,0
2026-02-20 11:41:00,82928.24,82945.23,82922.78,82935.08,0
2026-02-20 11:42:00,82934.78,82943.0,82916.54,82924.53,0
2026-02-20 11:43:00,82923.02,82928.49,82911.25,82922.05,0
2026-02-20 11:44:00,82922.05,82928.19,82920.16,82925.78,0
2026-02-20 11:45:00,82921.54,82946.24,82920.9,82941.67,0
2026-02-20 11:46:00,82941.67,82973.31,82937.83,82972.48,0
2026-02-20 11:47:00,82973.79,82973.79,82941.7,82948.86,0
2026-02-20 11:48:00,82948.08,82951.42,82900.48,82900.48,0
2026-02-20 11:49:00,82902.65,82903.71,82887.1,82893.64,0
2026-02-20 11:50:00,82889.48,82893.66,82874.83,82874.83,0
2026-02-20 11:51:00,82875.32,82901.68,82874.92,82896.63,0
2026-02-20 11:52:00,82896.12,82908.82,82891.86,82898.55,0
2026-02-20 11:53:00,82899.92,82911.96,82893.7,82893.7,0
2026-02-20 11:54:00,82893.01,82895.13,82862.44,82869.58,0
2026-02-20 11:55:00,82869.58,82873.81,82859.92,82863.43,0
2026-02-20 11:56:00,82863.44,82893.08,82863.44,82893.08,0
2026-02-20 11:57:00,82893.68,82919.67,82883.76,82918.59,0
2026-02-20 11:58:00,82918.59,82946.21,82915.22,82946.21,0
2026-02-20 11:59:00,82943.59,82943.62,82921.24,82923.0,0
2026-02-20 12:00:00,82921.1,82926.83,82913.22,82923.39,0
2026-02-20 12:01:00,82922.18,82922.18,82871.79,82874.08,0
2026-02-20 12:02:00,82873.04,82880.46,82864.69,82875.34,0
2026-02-20 12:03:00,82875.11,82883.09,82866.31,82870.74,0
2026-02-20 12:04:00,82873.42,82884.17,82857.08,82884.17,0
2026-02-20 12:05:00,82882.39,82885.23,82865.58,82873.01,0
2026-02-20 12:06:00,82877.19,82882.49,82865.74,82875.24,0
2026-02-20 12:07:00,82874.66,82883.62,82871.97,82883.62,0
